9.899999999999999911e-01 9.001000000000000512e+01
1.020000000000000018e+00 8.904999999999999716e+01
1.149999999999999911e+00 9.143000000000000682e+01
1.290000000000000036e+00 9.373999999999999488e+01
1.459999999999999964e+00 9.673000000000000398e+01
1.360000000000000098e+00 9.445000000000000284e+01
8.699999999999999956e-01 8.759000000000000341e+01
1.229999999999999982e+00 9.176999999999999602e+01
1.550000000000000044e+00 9.942000000000000171e+01
1.399999999999999911e+00 9.365000000000000568e+01
1.189999999999999947e+00 9.354000000000000625e+01
1.149999999999999911e+00 9.251999999999999602e+01
9.799999999999999822e-01 9.056000000000000227e+01
1.010000000000000009e+00 8.954000000000000625e+01
1.110000000000000098e+00 8.984999999999999432e+01
1.199999999999999956e+00 9.039000000000000057e+01
1.260000000000000009e+00 9.325000000000000000e+01
1.320000000000000062e+00 9.340999999999999659e+01
1.429999999999999938e+00 9.498000000000000398e+01
9.499999999999999556e-01 8.732999999999999829e+01
